date,wai_qoq,wai_qoq_lo,wai_qoq_hi,wai_yoy,wai_index,gdp_qoq,gdp_yoy,gdp_index
1990-01-07,2.5706,1.4587,3.6825,,62.3452,,,
1990-01-14,2.6212,1.5084,3.734,,62.3788,,,
1990-01-21,2.5875,1.4558,3.7193,,62.412,,,
1990-01-28,3.1076,2.0244,4.1909,,62.4518,,,
1990-02-07,3.2274,2.1513,4.3036,,62.4932,,,
1990-02-14,2.5161,1.4146,3.6177,,62.5256,,,
1990-02-21,2.7481,1.6093,3.887,,62.5609,,,
1990-02-28,2.1743,1.0781,3.2706,,62.5889,,,
1990-03-07,1.5281,0.4167,2.6395,,62.6087,,,
1990-03-14,2.0696,0.9582,3.181,,62.6355,,,
1990-03-21,1.4303,0.3349,2.5256,,62.654,,,
1990-03-28,1.7437,0.6624,2.825,,62.6766,,,
1990-04-07,1.3802,0.2875,2.4729,,62.6945,,,
1990-04-14,2.327,1.2055,3.4486,,62.7245,,,
1990-04-21,2.7213,1.6152,3.8273,,62.7596,,,
1990-04-28,2.4379,1.3111,3.5647,,62.7911,,,
1990-05-07,2.8725,1.7843,3.9607,,62.8282,,,
1990-05-14,3.0297,1.8973,4.1621,,62.8673,,,
1990-05-21,2.2862,1.1945,3.3779,,62.8969,,,
1990-05-28,2.2122,1.09,3.3343,,62.9256,,,
1990-06-07,1.7583,0.6822,2.8343,,62.9485,,,
1990-06-14,2.1503,1.036,3.2645,,62.9764,,,
1990-06-21,1.8748,0.773,2.9766,,63.0008,,,
1990-06-28,1.881,0.7562,3.0059,,63.0252,,,
1990-07-07,1.338,0.2526,2.4234,,63.0427,,,
1990-07-14,1.0485,-0.054,2.1509,,63.0564,,,
1990-07-21,1.4174,0.3358,2.4991,,63.0749,,,
1990-07-28,1.1008,-0.0296,2.2311,,63.0893,,,
1990-08-07,1.3165,0.2264,2.4065,,63.1065,,,
1990-08-14,1.6667,0.5845,2.7488,,63.1282,,,
1990-08-21,1.7558,0.6273,2.8842,,63.1511,,,
1990-08-28,1.781,0.6552,2.9069,,63.1743,,,
1990-09-07,1.0108,-0.0809,2.1026,,63.1876,,,
1990-09-14,1.1858,0.1117,2.2599,,63.2031,,,
1990-09-21,0.4918,-0.6476,1.6311,,63.2096,,,
1990-09-28,1.5487,0.415,2.6825,,63.2298,,,
1990-10-07,1.2316,0.0897,2.3735,,63.2459,,,
1990-10-14,1.6066,0.5302,2.683,,63.2669,,,
1990-10-21,2.1198,1.0421,3.1976,,63.2946,,,
1990-10-28,2.2592,1.1784,3.34,,63.3241,,,
1990-11-07,3.1124,2.0188,4.206,,63.3645,,,
1990-11-14,2.6062,1.52,3.6924,,63.3985,,,
1990-11-21,2.9015,1.7953,4.0076,,63.4363,,,
1990-11-28,2.3627,1.2505,3.4749,,63.4672,,,
1990-12-07,3.627,2.5371,4.717,,63.5143,,,
1990-12-14,3.8735,2.7896,4.9574,,63.5647,,,
1990-12-21,3.5084,2.3714,4.6453,,63.6104,,,
1990-12-28,3.8293,2.6903,4.9682,,63.6602,,,
1991-01-07,3.0244,1.9114,4.1373,2.1727,63.6997,,,
1991-01-14,3.829,2.7233,4.9347,2.1976,63.7496,,,
